id,Csplus_location,day,block,block_type,trial,rating,trial_type
02BM,head,1,4,test,76,5,CSminus_USlow
02BM,head,1,4,test,77,10,CSplus_UStest
02BM,head,1,4,test,78,10,UStest_only
02BM,head,1,4,test,79,15,CSplus_UStest
02BM,head,1,4,test,80,10,CSminus_UStest
02BM,head,1,4,test,81,25,CSplus_UShigh
02BM,head,1,4,test,82,-10,CSplus_only
02BM,head,1,4,test,83,5,UStest_only
02BM,head,1,4,test,84,10,CSplus_UStest
02BM,head,1,4,test,85,30,CSplus_UShigh
02BM,head,1,4,test,86,5,CSminus_USlow
02BM,head,1,4,test,87,38,CSplus_UShigh
02BM,head,1,4,test,88,10,CSminus_UStest
02BM,head,1,4,test,89,5,CSminus_USlow
02BM,head,1,4,test,90,5,CSminus_UStest
02BM,head,1,4,test,91,-50,UStest_only
02BM,head,1,4,test,92,-5,CSminus_USlow
02BM,head,1,4,test,93,10,CSminus_USlow
02BM,head,1,4,test,94,-10,CSminus_only
02BM,head,1,4,test,95,35,CSplus_UShigh
02BM,head,1,4,test,96,-10,CSminus_only
02BM,head,1,4,test,97,30,CSplus_UShigh
02BM,head,1,4,test,98,40,CSplus_UShigh
02BM,head,1,4,test,99,-30,CSplus_only
02BM,head,1,4,test,100,-15,CSminus_UStest
02BM,head,1,4,test,101,-5,CSminus_USlow
02BM,head,1,4,test,102,30,CSplus_UShigh
02BM,head,1,4,test,103,-15,CSminus_USlow
02BM,head,1,4,test,104,-5,CSminus_USlow
02BM,head,1,4,test,105,30,CSplus_UShigh
02BM,head,1,4,test,106,25,CSplus_UStest
02BM,head,1,4,test,107,30,CSplus_UShigh
02BM,head,1,4,test,108,-15,CSplus_only
02BM,head,1,4,test,109,5,UStest_only
02BM,head,1,4,test,110,-35,CSminus_only
02BM,head,1,4,test,111,-15,CSminus_USlow
02BM,head,1,4,test,112,5,CSminus_UStest
02BM,head,1,4,test,113,35,CSplus_UShigh
02BM,head,1,4,test,114,10,CSminus_USlow
02BM,head,1,5,test,115,-30,CSminus_only
02BM,head,1,5,test,116,5,UStest_only
02BM,head,1,5,test,117,35,CSplus_UShigh
